Latitude,Longitude,Frequency
35.9985,-86.7806,4
44.9759,-93.2166,7
43.4529,-80.5281,2
35.918,-84.004,14
33.2148,-97.1331,3
34.1359,-117.1553,1
37.5038,-121.5253,1
39.632,-86.303,1
33.2201,-97.1502,1
26.061,119.306,1
30.58,114.273,1
33.793,-84.4432,1
51.0000,9.0000,1
38.0000,-97.0000,1
37.4192,-122.0574,4
35.9537,-83.9335,1
38,-97,2
35.8572,-84.0177,9
48.86,2.35,1
35.9217,-84.1829,1
36.068,-84.02,2
41.6736,-88.0017,2
39.9289,116.3883,3
39.9721,-105.2493,4
35.9817,-84.129,10
33.1161,-97.0118,1
36.0104,-84.2696,46
35.9863,-83.9564,12
39.7392,-104.9847,1
35.9182,-84.0034,39
40.8291,-73.9491,1
41.6815,-87.9706,3
35.961,-83.921,1
35.9901,-83.9622,22
35.9043,-83.8407,1
36.0684,-84.0197,2
35.99,-83.963,1
47.0000,8.0000,1
33.0347,-96.8134,1
30.1678,-97.8225,1
36.5484,-82.5618,1
35.8288,-84.3177,7
35.9606,-83.9207,105
38.9036,-77.4512,37
34.0918,-84.2209,1
35.8556,-83.7449,2
35.9817,-84.1290,57
36.0448,-83.8216,1
35.9279,-84.0852,1
34.0008,-117.1266,2
35.9251,-86.8689,7
35.7973,-84.256,2
